,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,63714.8,31.1288,120.019,63518.5,63714.8,63930.5,14.8653,0.00592403,1.05285
participants_ter[1],0.101679,6.63212e-05,0.00400986,0.0945462,0.101989,0.107762,3655.56,1.45679,0.999579
participants_ter[2],0.174386,0.000109632,0.00482864,0.166138,0.174545,0.182054,1939.87,0.773063,1.00076
participants_ter[3],0.165379,9.37286e-05,0.00359108,0.158846,0.165693,0.170651,1467.94,0.584992,1.00072
participants_ter[4],0.11694,6.22365e-05,0.00316425,0.11112,0.117197,0.121664,2584.94,1.03013,0.999734
participants_ter[5],0.108923,9.11148e-05,0.00373866,0.102178,0.109281,0.114433,1683.66,0.67096,1.00036
participants_ter[6],0.123168,9.62644e-05,0.0043795,0.115521,0.123576,0.129782,2069.75,0.824823,1.00057
participants_ter[7],0.10561,9.91049e-05,0.0053589,0.09628,0.10589,0.114002,2923.89,1.16521,1.00081
participants_ter[8],0.10196,0.000215809,0.00533679,0.0923177,0.10232,0.110073,611.536,0.243705,1.00303
participants_ter[9],0.154943,7.77413e-05,0.00382929,0.148337,0.155131,0.160768,2426.24,0.966888,0.999832
participants_ter[10],0.14767,0.000115912,0.00501702,0.138919,0.147922,0.155363,1873.42,0.746585,1.00046
participants_ter[11],0.14996,6.4307e-05,0.00341991,0.143896,0.150309,0.154916,2828.22,1.12708,1.00077
participants_ter[12],0.103357,5.94548e-05,0.00334037,0.097511,0.103538,0.108529,3156.56,1.25793,0.999861
participants_ter[13],0.136929,0.000105366,0.00589506,0.126878,0.137286,0.14609,3130.24,1.24744,0.999793
participants_ter[14],0.11152,0.000122625,0.00622229,0.100702,0.111917,0.121108,2574.79,1.02609,1.00007
participants_ter[15],0.16293,4.15351e-05,0.00224456,0.158977,0.16314,0.166233,2920.34,1.1638,1.00038
participants_ter[16],0.132947,9.77708e-05,0.00546889,0.123557,0.133318,0.141557,3128.81,1.24687,0.999576
participants_ter[17],0.0975885,0.000196646,0.00408025,0.0904419,0.0978822,0.103684,430.529,0.171572,1.00362
participants_ter[18],0.106649,6.14046e-05,0.00309007,0.101163,0.106874,0.111282,2532.42,1.0092,1.00004
